R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths,average-pore-size
2.003344482,0,1,0,2.003344482,1,2.006688963,57.45069567
4.010033445,0.000165253,1,0.000331611,4.010033445,3.006688963,2.006688963,
6.016722408,0.000142469,0.999668389,0.000285891,6.016722408,5.013377926,2.006688963,
8.023411371,0.000134394,0.999382498,0.000269687,8.023411371,7.02006689,2.006688963,
10.03010033,0.000629287,0.999112811,0.001262783,10.03010033,9.026755853,2.006688963,
12.0367893,0.000901247,0.997850027,0.001808523,12.0367893,11.03344482,2.006688963,
14.04347826,0.001349708,0.996041504,0.002708445,14.04347826,13.04013378,2.006688963,
16.05016722,0.001956789,0.993333059,0.003926666,16.05016722,15.04682274,2.006688963,
18.05685619,0.002384485,0.989406393,0.004784919,18.05685619,17.05351171,2.006688963,
20.06354515,0.003108655,0.984621475,0.006238104,20.06354515,19.06020067,2.006688963,
22.07023411,0.004186114,0.978383371,0.008400229,22.07023411,21.06688963,2.006688963,
24.07692308,0.001989954,0.969983142,0.00399322,24.07692308,23.0735786,2.006688963,
26.08361204,0.005546205,0.965989922,0.011129508,26.08361204,25.08026756,2.006688963,
28.090301,0.00323382,0.954860414,0.006489271,28.090301,27.08695652,2.006688963,
30.09698997,0.004735226,0.948371143,0.009502127,30.09698997,29.09364548,2.006688963,
32.10367893,0.003741114,0.938869016,0.007507253,32.10367893,31.10033445,2.006688963,
34.11036789,0.008728978,0.931361763,0.017516345,34.11036789,33.10702341,2.006688963,
36.11705686,0.005763658,0.913845418,0.011565869,36.11705686,35.11371237,2.006688963,
38.12374582,0.005862579,0.90227955,0.011764372,38.12374582,37.12040134,2.006688963,
40.13043478,0,0.890515177,0,40.13043478,39.1270903,2.006688963,
42.13712375,0.006382851,0.890515177,0.012808397,42.13712375,41.13377926,2.006688963,
44.14381271,0.005304526,0.877706781,0.010644535,44.14381271,43.14046823,2.006688963,
46.15050167,0.007430605,0.867062246,0.014910914,46.15050167,45.14715719,2.006688963,
48.15719064,0.009290492,0.852151333,0.018643127,48.15719064,47.15384615,2.006688963,
50.1638796,0.007669977,0.833508205,0.015391257,50.1638796,49.16053512,2.006688963,
52.17056856,0,0.818116948,0,52.17056856,51.16722408,2.006688963,
54.17725753,0.009956982,0.818116948,0.019980566,54.17725753,53.17391304,2.006688963,
56.18394649,0.005700787,0.798136382,0.011439706,56.18394649,55.18060201,2.006688963,
58.19063545,0,0.786696676,0,58.19063545,57.18729097,2.006688963,
60.19732441,0.009592157,0.786696676,0.019248476,60.19732441,59.19397993,2.006688963,
62.20401338,0.012025093,0.7674482,0.024130621,62.20401338,61.2006689,2.006688963,
